Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0001,2,2021-01-01,9:12:58,1,Y,,109.0,1.43e-07,3
ID0002,0,2021-01-01,9:12:58,4,Y,,70.0,2.42e-07,3
ID0003,7,2021-01-01,9:47:31,1,Y,,10.0,1.31e-07,3
ID0004,3,2021-01-01,9:47:31,1,Y,,53.0,3.7e-08,2
ID0005,0,2021-01-01,10:00:29,2,Y,,95.0,6e-08,3
ID0006,7,2021-01-01,10:00:29,4,N,,,,0
ID0007,2,2021-01-01,10:22:05,2,Y,,24.0,2.2e-07,2
ID0008,2,2021-01-01,10:22:05,2,Y,,22.0,3.8e-08,4
ID0009,3,2021-01-01,11:13:55,0,Y,,15.0,3.98e-07,4
ID0010,4,2021-01-01,11:13:55,3,Y,,78.0,6.4e-08,3
ID0011,5,2021-01-01,11:15:22,2,N,,,,0
ID0012,3,2021-01-01,11:15:22,2,Y,,50.0,3.2e-08,4
ID0013,5,2021-01-01,11:52:48,2,Y,,84.0,2.14e-07,3
ID0014,6,2021-01-01,11:52:48,1,Y,,89.0,3.44e-07,3
ID0015,0,2021-01-01,11:55:41,0,Y,,48.0,2.27e-07,4
ID0016,0,2021-01-01,11:55:41,0,Y,,63.0,3.26e-07,2
ID0017,3,2021-01-01,11:57:07,4,Y,,45.0,3.32e-07,5
ID0018,0,2021-01-01,11:57:07,0,N,,,,0
ID0019,4,2021-01-01,12:01:26,3,N,,,,0
ID0020,4,2021-01-01,12:01:26,1,Y,,101.0,1.47e-07,3
ID0021,4,2021-01-01,12:02:53,4,Y,,74.0,3.22e-07,5
ID0022,1,2021-01-01,12:02:53,0,Y,,89.0,3.5e-07,5
ID0023,6,2021-01-01,12:02:53,4,N,,,,0
ID0024,5,2021-01-01,12:02:53,4,Y,,68.0,3.25e-07,2
ID0025,2,2021-01-01,12:30:14,3,Y,,97.0,2.49e-07,3
ID0026,1,2021-01-01,12:30:14,2,N,,,,0
ID0027,5,2021-01-01,12:40:19,3,Y,,39.0,2.4e-07,3
ID0028,6,2021-01-01,12:40:19,1,Y,,51.0,1.54e-07,4
ID0029,5,2021-01-01,12:40:19,4,Y,,106.0,1.29e-07,4
ID0030,7,2021-01-01,12:40:19,3,Y,,107.0,3.55e-07,3
ID0031,5,2021-01-01,13:24:58,0,Y,,22.0,3.08e-07,3
ID0032,5,2021-01-01,13:24:58,3,Y,,122.0,1.28e-07,4
ID0033,2,2021-01-01,13:33:36,4,Y,,57.0,4.09e-07,3
ID0034,4,2021-01-01,13:33:36,2,Y,,53.0,1.04e-07,2
ID0035,0,2021-01-01,13:42:14,3,Y,,119.0,9.1e-08,5
ID0036,2,2021-01-01,13:42:14,3,N,,,,0
ID0037,6,2021-01-01,13:42:14,4,Y,,20.0,7.2e-08,2
ID0038,5,2021-01-01,13:42:14,4,Y,,52.0,3.6e-08,3
ID0039,7,2021-01-01,14:38:24,1,Y,,74.0,4.01e-07,1
ID0040,3,2021-01-01,14:38:24,4,Y,,49.0,1.49e-07,3
ID0041,4,2021-01-01,14:47:02,4,Y,,27.0,1.29e-07,5
ID0042,3,2021-01-01,14:47:02,1,Y,,100.0,2.94e-07,5
ID0043,2,2021-01-01,14:47:02,4,Y,,45.0,3.81e-07,3
ID0044,0,2021-01-01,14:47:02,2,Y,,98.0,1.94e-07,5
ID0045,2,2021-01-01,15:44:38,0,Y,,25.0,3.13e-07,5
ID0046,4,2021-01-01,15:44:38,1,N,,,,0
ID0047,1,2021-01-01,17:13:55,0,Y,,107.0,1.42e-07,3
ID0048,6,2021-01-01,17:13:55,1,N,,,,0
ID0049,5,2021-01-01,17:25:26,4,Y,,104.0,2.15e-07,5
ID0050,1,2021-01-01,17:25:26,4,N,,,,0
ID0051,6,2021-01-01,17:35:31,1,N,,,,0
ID0052,4,2021-01-01,17:35:31,0,N,,,,0
ID0053,7,2021-01-01,17:36:58,2,Y,,13.0,7.5e-08,5
ID0054,1,2021-01-01,17:36:58,2,Y,,119.0,1.52e-07,5
ID0055,0,2021-01-01,17:44:10,3,Y,,35.0,7.9e-08,3
ID0056,1,2021-01-01,17:44:10,3,Y,,83.0,4.05e-07,4
ID0057,4,2021-01-01,17:57:07,4,Y,,48.0,1.72e-07,2
ID0058,7,2021-01-01,17:57:07,0,Y,,45.0,2.03e-07,5
ID0059,1,2021-01-02,9:05:46,4,Y,,65.0,3.6e-07,5
ID0060,1,2021-01-02,9:05:46,1,Y,,50.0,2.66e-07,3
ID0061,2,2021-01-02,9:18:43,3,Y,,17.0,3.75e-07,3
ID0062,5,2021-01-02,9:18:43,4,N,,,,0
ID0063,1,2021-01-02,9:20:10,3,Y,,96.0,4.06e-07,1
ID0064,7,2021-01-02,9:20:10,3,Y,,90.0,3.83e-07,3
ID0065,4,2021-01-02,9:38:53,1,Y,,98.0,3.85e-07,2
ID0066,2,2021-01-02,9:38:53,4,Y,,90.0,8.3e-08,4
ID0067,4,2021-01-02,10:04:48,1,Y,,98.0,3.49e-07,5
ID0068,4,2021-01-02,10:04:48,1,Y,,70.0,1.92e-07,5
ID0069,2,2021-01-02,10:33:36,1,Y,,69.0,2.85e-07,4
ID0070,2,2021-01-02,10:33:36,0,N,,,,0
ID0071,5,2021-01-02,11:08:10,4,Y,,120.0,1.31e-07,4
ID0072,7,2021-01-02,11:08:10,0,Y,,113.0,3.51e-07,5
ID0073,3,2021-01-02,11:26:53,2,Y,,10.0,1.39e-07,5
ID0074,0,2021-01-02,11:26:53,1,Y,,122.0,2.93e-07,1
ID0075,7,2021-01-02,11:42:43,4,Y,,125.0,9.8e-08,3
ID0076,2,2021-01-02,11:42:43,0,N,,,,0
ID0077,6,2021-01-02,11:47:02,4,Y,,33.0,3.98e-07,2
ID0078,1,2021-01-02,11:47:02,1,Y,,51.0,3.82e-07,2
ID0079,0,2021-01-02,11:54:14,1,Y,,58.0,2.08e-07,3
ID0080,1,2021-01-02,11:54:14,0,Y,,121.0,2.87e-07,5
ID0081,2,2021-01-02,12:00:00,0,Y,,118.0,1.26e-07,4
ID0082,3,2021-01-02,12:00:00,2,Y,,52.0,4.16e-07,4
ID0083,7,2021-01-02,12:20:10,0,Y,,55.0,2.84e-07,3
ID0084,1,2021-01-02,12:20:10,1,Y,,68.0,3.59e-07,4
ID0085,0,2021-01-02,12:41:46,4,Y,,106.0,2.62e-07,5
ID0086,6,2021-01-02,12:41:46,4,Y,,32.0,2.76e-07,3
ID0087,4,2021-01-02,12:44:38,2,N,,,,0
ID0088,6,2021-01-02,12:44:38,0,Y,,45.0,8.6e-08,4
ID0089,5,2021-01-02,12:59:02,4,Y,,119.0,2.12e-07,4
ID0090,1,2021-01-02,12:59:02,3,N,,,,0
ID0091,4,2021-01-02,13:03:22,1,Y,,46.0,3.41e-07,1
ID0092,7,2021-01-02,13:03:22,4,Y,,101.0,8.8e-08,3
ID0093,4,2021-01-02,13:04:48,4,Y,,56.0,1.72e-07,3
ID0094,0,2021-01-02,13:04:48,4,Y,,80.0,5.3e-08,3
ID0095,2,2021-01-02,13:13:26,3,Y,,24.0,9.6e-08,3
ID0096,7,2021-01-02,13:13:26,2,Y,,113.0,2.34e-07,2
ID0097,3,2021-01-02,13:20:38,1,Y,,19.0,1.23e-07,4
ID0098,6,2021-01-02,13:20:38,3,N,,,,0
ID0099,1,2021-01-02,13:20:38,1,Y,,45.0,3.97e-07,3
ID0100,2,2021-01-02,13:20:38,4,Y,,95.0,3.11e-07,1
ID0101,0,2021-01-02,13:45:07,4,N,,,,0
ID0102,6,2021-01-02,13:45:07,4,Y,,79.0,3.31e-07,1
ID0103,2,2021-01-02,13:49:26,2,Y,,22.0,2.36e-07,2
ID0104,6,2021-01-02,13:49:26,1,Y,,38.0,3.96e-07,1
ID0105,0,2021-01-02,13:53:46,4,Y,,112.0,2.05e-07,5
ID0106,0,2021-01-02,13:53:46,2,Y,,65.0,2.97e-07,3
ID0107,5,2021-01-02,14:22:34,3,N,,,,0
ID0108,0,2021-01-02,14:22:34,1,Y,,55.0,1.52e-07,1
ID0109,7,2021-01-02,14:52:48,0,N,,,,0
ID0110,5,2021-01-02,14:52:48,3,Y,,19.0,1.58e-07,2
ID0111,0,2021-01-02,15:10:05,4,Y,,53.0,5.6e-08,3
ID0112,2,2021-01-02,15:10:05,4,Y,,24.0,3.66e-07,5
ID0113,6,2021-01-02,15:36:00,3,Y,,73.0,3.61e-07,3
ID0114,7,2021-01-02,15:36:00,4,N,,,,0
ID0115,4,2021-01-02,17:36:58,4,Y,,55.0,3.47e-07,5
ID0116,3,2021-01-02,17:36:58,2,N,,,,0
ID0117,2,2021-01-02,17:47:02,3,N,,,,0
ID0118,6,2021-01-02,17:47:02,3,Y,,23.0,3.18e-07,4
ID0119,1,2021-01-03,9:10:05,2,Y,,124.0,1.43e-07,5
ID0120,1,2021-01-03,9:10:05,1,N,,,,0
ID0121,1,2021-01-03,9:47:31,4,Y,,103.0,6.1e-08,4
ID0122,6,2021-01-03,9:47:31,1,Y,,69.0,2.25e-07,4
ID0123,5,2021-01-03,10:29:17,3,Y,,78.0,7.2e-08,3
ID0124,6,2021-01-03,10:29:17,4,Y,,78.0,2.06e-07,5
ID0125,6,2021-01-03,10:37:55,4,N,,,,0
ID0126,2,2021-01-03,10:37:55,2,Y,,44.0,3.38e-07,4
ID0127,6,2021-01-03,10:52:19,0,Y,,35.0,1.66e-07,4
ID0128,0,2021-01-03,10:52:19,0,Y,,102.0,3.26e-07,4
ID0129,4,2021-01-03,10:52:19,1,Y,,99.0,3.51e-07,3
ID0130,4,2021-01-03,10:52:19,0,Y,,29.0,2.49e-07,3
ID0131,0,2021-01-03,10:58:05,0,Y,,42.0,5.9e-08,5
ID0132,2,2021-01-03,10:58:05,2,Y,,113.0,3.4e-07,4
ID0133,1,2021-01-03,11:02:24,0,Y,,124.0,5.3e-08,2
ID0134,4,2021-01-03,11:02:24,4,N,,,,0
ID0135,1,2021-01-03,11:03:50,2,Y,,55.0,1.33e-07,1
ID0136,3,2021-01-03,11:03:50,4,Y,,105.0,3.59e-07,3
ID0137,7,2021-01-03,11:06:43,1,Y,,112.0,1.92e-07,5
ID0138,6,2021-01-03,11:06:43,1,N,,,,0
ID0139,0,2021-01-03,11:16:48,4,Y,,43.0,3.8e-07,5
ID0140,5,2021-01-03,11:16:48,2,Y,,20.0,1.04e-07,3
ID0141,3,2021-01-03,11:26:53,4,Y,,84.0,1.03e-07,5
ID0142,4,2021-01-03,11:26:53,1,Y,,20.0,1.64e-07,4
ID0143,3,2021-01-03,11:38:24,3,Y,,101.0,1.36e-07,3
ID0144,2,2021-01-03,11:38:24,4,Y,,31.0,1.75e-07,5
ID0145,4,2021-01-03,11:52:48,1,Y,,56.0,2.49e-07,5
ID0146,5,2021-01-03,11:52:48,1,N,,,,0
ID0147,5,2021-01-03,11:55:41,2,Y,,77.0,8.7e-08,5
ID0148,4,2021-01-03,11:55:41,2,Y,,46.0,5e-08,4
ID0149,7,2021-01-03,11:58:34,0,Y,,88.0,2.66e-07,3
ID0150,2,2021-01-03,11:58:34,2,Y,,88.0,5.8e-08,1
ID0151,5,2021-01-03,12:33:07,4,Y,,124.0,3.63e-07,1
ID0152,7,2021-01-03,12:33:07,1,N,,,,0
ID0153,6,2021-01-03,12:54:43,2,Y,,52.0,4.19e-07,4
ID0154,5,2021-01-03,12:54:43,0,Y,,67.0,3.7e-07,5
ID0155,6,2021-01-03,13:12:00,2,Y,,119.0,2.56e-07,3
ID0156,1,2021-01-03,13:12:00,0,Y,,98.0,2.77e-07,2
ID0157,4,2021-01-03,13:14:53,4,N,,,,0
ID0158,5,2021-01-03,13:14:53,4,Y,,118.0,2.58e-07,3
ID0159,0,2021-01-03,13:27:50,0,Y,,123.0,7.5e-08,3
ID0160,0,2021-01-03,13:27:50,3,Y,,86.0,3.37e-07,1
ID0161,3,2021-01-03,13:35:02,0,Y,,104.0,1.29e-07,3
ID0162,3,2021-01-03,13:35:02,2,Y,,69.0,9.3e-08,2
ID0163,1,2021-01-03,13:58:05,1,Y,,113.0,1.58e-07,1
ID0164,5,2021-01-03,13:58:05,3,Y,,88.0,2.03e-07,5
ID0165,5,2021-01-03,13:58:05,3,N,,,,0
ID0166,7,2021-01-03,13:58:05,2,N,,,,0
ID0167,5,2021-01-03,14:03:50,2,Y,,84.0,5.8e-08,2
ID0168,2,2021-01-03,14:03:50,3,Y,,113.0,8.2e-08,3
ID0169,5,2021-01-03,14:47:02,3,Y,,38.0,3.31e-07,4
ID0170,1,2021-01-03,14:47:02,3,Y,,14.0,3.74e-07,4
ID0171,6,2021-01-03,15:34:34,3,Y,,25.0,3.32e-07,4
ID0172,1,2021-01-03,15:34:34,1,N,,,,0
ID0173,2,2021-01-03,16:29:17,4,N,,,,0
ID0174,5,2021-01-03,16:29:17,2,Y,,117.0,1.27e-07,4
ID0175,7,2021-01-03,17:31:12,2,Y,,57.0,3.61e-07,2
ID0176,6,2021-01-03,17:31:12,4,Y,,119.0,3.19e-07,5
ID0177,6,2021-01-04,9:01:26,1,N,,,,0
ID0178,2,2021-01-04,9:01:26,3,Y,,93.0,3.92e-07,5
ID0179,6,2021-01-04,9:31:41,2,Y,,86.0,6.4e-08,4
ID0180,5,2021-01-04,9:31:41,3,N,,,,0
ID0181,1,2021-01-04,9:43:12,1,Y,,92.0,1.79e-07,3
ID0182,3,2021-01-04,9:43:12,3,N,,,,0
ID0183,6,2021-01-04,10:03:22,4,Y,,106.0,3.42e-07,3
ID0184,7,2021-01-04,10:03:22,4,Y,,67.0,1.64e-07,3
ID0185,4,2021-01-04,10:27:50,3,Y,,90.0,2.57e-07,3
ID0186,2,2021-01-04,10:27:50,4,N,,,,0
ID0187,0,2021-01-04,11:09:36,3,Y,,50.0,2.29e-07,4
ID0188,2,2021-01-04,11:09:36,0,Y,,89.0,2.56e-07,3
ID0189,4,2021-01-04,11:13:55,0,Y,,74.0,3.78e-07,3
ID0190,6,2021-01-04,11:13:55,2,Y,,63.0,1.42e-07,2
ID0191,0,2021-01-04,11:18:14,1,Y,,45.0,3.91e-07,5
ID0192,6,2021-01-04,11:18:14,4,N,,,,0
ID0193,1,2021-01-04,11:22:34,2,Y,,31.0,4.03e-07,2
ID0194,5,2021-01-04,11:22:34,3,N,,,,0
ID0195,5,2021-01-04,11:32:38,1,Y,,43.0,2.24e-07,5
ID0196,6,2021-01-04,11:32:38,3,Y,,50.0,3.42e-07,4
ID0197,1,2021-01-04,12:02:53,4,Y,,48.0,3.12e-07,4
ID0198,6,2021-01-04,12:02:53,0,Y,,113.0,1.64e-07,5
ID0199,4,2021-01-04,12:15:50,3,N,,,,0
ID0200,5,2021-01-04,12:15:50,4,Y,,103.0,4e-07,5
ID0201,0,2021-01-04,12:15:50,4,Y,,95.0,2.67e-07,3
ID0202,5,2021-01-04,12:15:50,0,Y,,30.0,3.04e-07,1
